Education,Has_Partner,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_Spent,Spending_Ratio,Children_Home,Customer_Tenure_Days
Graduation,0,58138,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,57,1617,0.027813134266744644,0,663
Graduation,0,46344,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,27,0.0005825996892801658,2,113
Graduation,1,71613,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,49,776,0.010836021392763883,0,312
Graduation,1,26646,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,53,0.0019890415071680554,1,139
PhD,1,58293,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,422,0.007239291167035493,1,161
Master,1,62513,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,47,716,0.011453617647529314,1,293
Graduation,0,55635,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,43,590,0.010604835085827267,1,593
PhD,1,33454,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,29,169,0.0050517127996652115,1,417
PhD,1,30351,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,40,46,0.001515600803927383,1,388
PhD,1,5648,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,64,49,0.008675637393767706,2,108
Basic,1,7500,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,38,61,0.008133333333333333,0,593
Graduation,0,63033,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,55,1102,0.01748290577951232,0,226
Master,0,59354,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,62,310,0.005222899888802777,2,226
Graduation,1,17323,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,27,46,0.0026554291981758355,0,627
PhD,0,82800,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,68,1315,0.015881642512077295,0,582
Graduation,1,41850,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,34,96,0.0022939068100358423,2,552
Graduation,1,37760,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,68,317,0.008395127118644067,0,667
Master,1,76995,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,65,1782,0.023144360023378142,1,458
2n Cycle,0,33812,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,29,133,0.003933514728498758,1,603
Graduation,1,37040,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,32,316,0.008531317494600432,0,690
Graduation,1,2447,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,35,1730,0.7069881487535759,1,539
PhD,1,58607,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,65,972,0.01658504956745781,1,553
PhD,1,65324,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,60,544,0.008327720286571551,1,169
Graduation,1,40689,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,63,444,0.010912040109120402,1,468
Graduation,0,18589,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,45,75,0.004034644144386465,0,543
Graduation,1,53359,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,38,257,0.004816432092055698,2,398
Graduation,1,38360,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,25,131,0.0034150156412930135,1,394
PhD,1,84618,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,49,1672,0.019759389255241202,0,219
Master,0,10979,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,25,30,0.0027324892977502505,0,38
Master,1,38620,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,318,0.008234075608493008,0,414
Graduation,1,40548,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,44,120,0.002959455460195324,1,627
PhD,0,46610,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,62,302,0.00647929628835014,2,608
Master,1,68657,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,68,1196,0.01741992804812328,0,494
Master,0,49389,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,63,65,0.0013160825284982485,2,304
PhD,1,67353,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,44,913,0.013555446676465785,1,180
2n Cycle,1,23718,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,38,81,0.0034151277510751326,1,300
Graduation,0,42429,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,41,67,0.0015791086285323716,1,138
PhD,0,48948,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,71,902,0.01842771921222522,0,513
Graduation,1,80011,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,34,1395,0.01743510267338241,1,426
Master,1,20559,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,29,53,0.0025779463981711174,1,474
Graduation,1,21994,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,57,22,0.0010002728016731835,1,552
Master,1,7500,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,39,31,0.0041333333333333335,1,270
Graduation,0,79941,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,38,984,0.012309077944984426,0,1
2n Cycle,1,7500,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,18,122,0.016266666666666665,0,597
Graduation,1,41728,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,46,55,0.0013180598159509202,1,401
PhD,1,72550,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,60,1319,0.01818056512749828,2,598
Graduation,0,65486,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,57,507,0.0077421128180069024,1,48
Master,1,79143,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,50,1693,0.021391658137801195,0,687
Graduation,0,35790,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,37,72,0.00201173512154233,1,543
Graduation,0,82582,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,37,1617,0.019580538131796277,0,22
Graduation,1,66373,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,36,606,0.009130218612990222,2,382
Master,1,82384,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,59,1957,0.023754612546125462,0,587
Graduation,0,70287,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,48,1093,0.015550528547242022,0,453
Graduation,0,27938,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,26,29,0.0010380127425012528,1,62
PhD,1,55954,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,46,518,0.009257604460807091,1,118
Master,0,75777,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,32,1438,0.018976734365308733,0,360
Graduation,1,66653,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,39,612,0.009181882285868604,2,660
Graduation,0,61823,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,62,884,0.014298885528039726,1,496
PhD,0,67680,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,63,606,0.008953900709219859,1,383
Graduation,1,70666,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,66,1076,0.0152265587411202,0,205
Graduation,1,25721,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,43,34,0.0013218770654329147,1,404
Graduation,1,32474,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,47,11,0.00033873252448112336,2,49
2n Cycle,0,88194,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,35,1274,0.014445427126561898,1,102
Graduation,1,69096,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,56,653,0.009450619428042144,1,275
Graduation,1,74854,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,44,1562,0.020867288321265397,3,447
Master,1,66991,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,60,1253,0.01870400501559911,0,656
