Education,Has_Partner,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_Spent,Spending_Ratio,Children_Home,Customer_Tenure_Days,Family_Size,Income_per_Capita,Spend_per_Capita,Dependency_Ratio,Wines_Share,Fruits_Share,Meat_Share,Fish_Share,Sweets_Share,Gold_Share,Num_Categories_Active,Category_Concentration,Premium_Tilt,Total_Purchases,Avg_Spend_per_Purchase,Web_Share,Catalog_Share,Store_Share,Deals_Share,Past_Accepted,Ever_Accepted_Past,Campaign_Accept_Rate,Tenure_Months,Frequency_pm,Monetary,log_Monetary,Recency_Bin,R_score,F_score,M_score,RFM_Total,log_Income,log_Total_Spent,Income_x_HasPartner,Age_x_WebShare,Age_Bin,Income_q
Graduation,0,58138,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,57,1617,0.0278131342667446,0,663,1,58138.0,1617.0,0.0,0.39270253555967843,0.05442176870748299,0.33766233766233766,0.10636982065553494,0.05442176870748299,0.05442176870748299,6,0.28843086118463807,0.44712430426716143,22,73.5,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.13636363636363635,0,0,0.0,22.0,1.0,1617,7.388946097618437,31-90 (Warm),3.0,3.0,5.0,11.0,10.970591974102547,7.388946097618437,0,20.727272727272727,45-59,2
Graduation,0,46344,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,27,0.0005825996892801,2,113,3,15448.0,9.0,0.6666666666666666,0.4074074074074074,0.037037037037037035,0.2222222222222222,0.07407407407407407,0.037037037037037035,0.2222222222222222,6,0.2729766803840878,0.6296296296296297,4,6.75,0.25,0.25,0.5,0.5,0,0,0.0,4.0,1.0,27,3.332204510175204,31-90 (Warm),4.0,3.0,1.0,8.0,10.743868690309933,3.332204510175204,0,15.0,60+,2
Graduation,1,71613,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,49,776,0.0108360213927638,0,312,2,35806.5,388.0,0.0,0.5489690721649485,0.06314432989690721,0.163659793814433,0.14304123711340205,0.027061855670103094,0.05412371134020619,6,0.35626129237963655,0.6030927835051546,20,38.8,0.4,0.1,0.5,0.05,0,0,0.0,10.0,2.0,776,6.655440350367647,0-30 (Hot),4.0,4.0,4.0,12.0,11.179045864561353,6.655440350367647,71613,19.6,45-59,3
Graduation,1,26646,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,53,0.001989041507168,1,139,3,8882.0,17.666666666666668,0.3333333333333333,0.20754716981132076,0.07547169811320754,0.37735849056603776,0.18867924528301888,0.05660377358490566,0.09433962264150944,6,0.23887504449982203,0.3018867924528302,6,8.833333333333334,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0,0,0.0,5.0,1.2,53,3.9889840465642745,0-30 (Hot),4.0,3.0,1.0,8.0,10.190431852901,3.9889840465642745,26646,10.0,30-44,0
PhD,1,58293,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,422,0.0072392911670354,1,161,3,19431.0,140.66666666666666,0.3333333333333333,0.4099526066350711,0.1018957345971564,0.2796208530805687,0.10900473933649289,0.06398104265402843,0.035545023696682464,6,0.27387075761999957,0.44549763033175355,14,30.142857142857142,0.35714285714285715,0.21428571428571427,0.42857142857142855,0.35714285714285715,0,0,0.0,5.0,2.8,422,6.0473721790462776,>90 (Cold),1.0,5.0,3.0,9.0,10.973254451090401,6.0473721790462776,58293,11.785714285714286,30-44,2
Master,1,62513,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,47,716,0.0114536176475293,1,293,3,20837.666666666668,238.66666666666666,0.3333333333333333,0.7262569832402235,0.05865921787709497,0.13687150837988826,0.0,0.05865921787709497,0.019553072625698324,5,0.5534471458443869,0.7458100558659218,20,35.8,0.3,0.2,0.5,0.1,0,0,0.0,10.0,2.0,716,6.57507584059962,0-30 (Hot),5.0,4.0,4.0,13.0,11.043145810640238,6.57507584059962,62513,14.1,45-59,3
Graduation,0,55635,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,43,590,0.0106048350858272,1,593,2,27817.5,295.0,0.5,0.3983050847457627,0.11016949152542373,0.27796610169491526,0.0847457627118644,0.08305084745762711,0.04576271186440678,6,0.26422292444699796,0.4440677966101695,17,34.705882352941174,0.4117647058823529,0.17647058823529413,0.4117647058823529,0.23529411764705882,0,0,0.0,20.0,0.85,590,6.3818160174060985,31-90 (Warm),4.0,2.0,3.0,9.0,10.926585752727021,6.3818160174060985,0,17.705882352941174,30-44,2
PhD,1,33454,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,29,169,0.0050517127996652,1,417,3,11151.333333333334,56.333333333333336,0.3333333333333333,0.44970414201183434,0.05917159763313609,0.33136094674556216,0.01775147928994083,0.005917159763313609,0.13609467455621302,6,0.33440705857638037,0.5857988165680473,8,21.125,0.5,0.0,0.5,0.25,0,0,0.0,14.0,0.5714285714285714,169,5.135798437050262,31-90 (Warm),4.0,2.0,2.0,8.0,10.417956531216918,5.135798437050262,33454,14.5,18-29,1
PhD,1,30351,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,40,46,0.0015156008039273,1,388,3,10117.0,15.333333333333334,0.3333333333333333,0.30434782608695654,0.0,0.5217391304347826,0.06521739130434782,0.06521739130434782,0.043478260869565216,5,0.3752362948960302,0.34782608695652173,5,9.2,0.6,0.0,0.4,0.2,0,0,0.0,13.0,0.38461538461538464,46,3.8501476017100584,0-30 (Hot),5.0,1.0,1.0,7.0,10.320617692174796,3.8501476017100584,30351,24.0,30-44,0
PhD,1,5648,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,64,49,0.0086756373937677,2,108,4,1412.0,12.25,0.5,0.5714285714285714,0.0,0.12244897959183673,0.02040816326530612,0.02040816326530612,0.2653061224489796,5,0.41274468971261974,0.8367346938775511,1,49.0,1.0,0.0,0.0,1.0,1,1,0.2,4.0,0.25,49,3.912023005428146,31-90 (Warm),2.0,1.0,1.0,4.0,8.639233817325263,3.912023005428146,5648,64.0,60+,0
