Feature,Coefficient
Education_PhD,1.1816359147400226
Customer_Tenure_Days,0.8286133141502403
Income_per_Capita,0.7790606342559173
Spend_per_Capita,0.6806254539756655
Meat_Share,0.6287286141411418
Catalog_Share,0.6041682482540741
F_score,0.5984208729506254
Tenure_Months,0.5194686334265396
log_Income,0.5078163317301795
Gold_Share,0.4797885133024218
NumWebVisitsMonth,0.4377995811736331
Past_Accepted,0.39135852067822346
Campaign_Accept_Rate,0.39135852067822235
Wines,0.3697719565314838
log_Total_Spent,0.36963324539744563
log_Monetary,0.36963324539744563
Age_Bin_30-44,0.3630046045661181
R_score,0.360081175096568
M_score,0.31788147947872775
NumDealsPurchases,0.31488927806376554
AcceptedCmp5,0.30784270993637536
Education_Master,0.2953155925489905
AcceptedCmp3,0.2747870672566802
AcceptedCmp1,0.2654859139058044
Children_Home,0.25584029746319015
Sweets_Share,0.20192980091296647
AcceptedCmp4,0.15556074955743177
Age_Bin_45-59,0.13210508648082592
Recency_Bin_0-30 (Hot),0.1259838982560781
Family_Size,0.11472521303113616
Fruits,0.10704678460572055
Age_x_WebShare,0.10623285608225727
Income_x_HasPartner,0.06691594685534398
Total_Spent,0.045091255866752396
Monetary,0.045091255866752396
AcceptedCmp2,0.038773020524155516
Fruits_Share,0.018892979455495555
Fish,0.014194124999616949
Web_Share,0.004576568778433023
Recency_Bin_31-90 (Warm),0.001035116515619
Age,-0.01097633260752512
Age_Bin_60+,-0.03368388422862827
Income_q,-0.03766745834335931
Ever_Accepted_Past,-0.04100664823967188
Category_Concentration,-0.04622324071827886
Education_Graduation,-0.054523622916389
Complain,-0.06714554404861342
Num_Categories_Active,-0.07263306479676002
NumWebPurchases,-0.07636771912433694
Frequency_pm,-0.07930164474188905
Gold,-0.11840715840699546
Deals_Share,-0.17767368837258626
Has_Partner,-0.18153996417348897
Recency_Bin_>90 (Cold),-0.1882541058328931
NumStorePurchases,-0.2137114150804284
Sweets,-0.26434035890106994
Dependency_Ratio,-0.2989381989438755
Premium_Tilt,-0.2992134364743013
Total_Purchases,-0.3465560655814855
RFM_Total,-0.36419420814236003
Education_2n Cycle,-0.36618697482178536
Meat,-0.39292541003511644
Avg_Spend_per_Purchase,-0.41868239859291645
Fish_Share,-0.4461037075833097
Wines_Share,-0.4820940115848649
Age_Bin_18-29,-0.5226608978795126
Store_Share,-0.5461176643572717
NumCatalogPurchases,-0.551912826290473
Recency,-0.8125939389376228
Spending_Ratio,-0.8663786599432028
Education_Basic,-1.117476000612047
Income,-1.13155407486375
